!Hell PRO Tanki Launcher      ::      Multipack Launcher
2GISTrayNotifier      ::      Модуль оповещений 2ГИС
aaHMSvc      ::      
acrotray      ::      AcroTray
AdobeARM      ::      Adobe Reader and Acrobat Manager
AI Suite II      ::      AI Suite II
AlertHelper      ::      AlertHelper
armsvc      ::      Adobe Acrobat Update Service
AsRoutineController      ::      ASUS Routine Controller
AsSysCtrlService      ::      AsSysCtr Application
AsusFanControlService      ::      ASUS Motherboard Fan Control Service
avp      ::      Kaspersky Anti-Virus
avpui      ::      Kaspersky Anti-Virus
chrome      ::      Google Chrome
cmd      ::      Обработчик команд Windows
devenv      ::      Microsoft Visual Studio 2010
Dropbox      ::      Dropbox
EPUHelp      ::      EPUHelp
GoogleCrashHandler      ::      Google Crash Handler
IAStorDataMgrSvc      ::      IAStorDataSvc
IntelliTrace      ::      IntelliTrace.exe
iusb3mon      ::      Intel(R) USB 3.0 Monitor
Jhi_service      ::      Intel(R) Dynamic Application Loader Host Interface
klwtblfs      ::      WebToolBar component
launcher.vshost      ::      vshost32.exe
LMS      ::      Local Manageability Service
MKey      ::      Universal Multimedia Keyboard Driver
NetiCtrlTray      ::      NetiCtrlTray
NetSvcHelp      ::      Network Service Help
nhsrvice      ::      HASP License Manager Service
NvBackend      ::      NVIDIA GeForce Experience Backend
NvNetworkService      ::      NVIDIA Network Service
nvSCPAPISvr      ::      Stereo Vision Control Panel API Server
NvTmru      ::      NVIDIA NvTmru Application
oopnet      ::      Playback server part of CCTV "Line"
plugin-nm-server      ::      Kaspersky Anti-Virus Plugins Native Messaging Server
PowerControlHelp      ::      Digi+ Power Control Help
processes      ::      !Hell Process List
PsiService_2      ::      PsiService PsiService
punto      ::      Punto Switcher
qip      ::      QIP 2012
Skype      ::      Skype
SkypeC2CAutoUpdateSvc      ::      Updates Skype Click to Call
SkypeC2CPNRSvc      ::      Phone Number Recognition (PNR) module
TeamViewer_Service      ::      TeamViewer 9
thunderbird      ::      Thunderbird
TurboVHelp      ::      TurboVHelp
UNS      ::      User Notification Service
uTorrent      ::      µTorrent
VMonitor      ::      Monitor SnapShot Button
WiseDiskCleaner      ::      Wise Disk Cleaner
WiseRegCleaner      ::      Wise Registry Cleaner
xStarter      ::      Routine computer tasks automation
xStartUI      ::      Routine computer tasks automation
